"","gene","ensembl_gene_id","Length","transcript_length","cds_length"
"13842","KIAA1143","ENSG00000163807",23958,2793,NA
"13843","KIAA1143","ENSG00000281665",23958,2793,NA
"13844","KIAA1191","ENSG00000122203",15745,741,NA
"13845","KIAA1210","ENSG00000250423",71944,7824,5130
"13846","KIAA1211","ENSG00000109265",279552,1662,NA
"13847","KIAA1211L","ENSG00000196872",142413,846,NA
"13848","KIAA1217","ENSG00000120549",853102,3203,NA
"13849","KIAA1257","ENSG00000114656",92824,1632,NA
"13850","KIAA1324","ENSG00000116299",93102,1115,NA
"13851","KIAA1324L","ENSG00000164659",182748,675,NA
"13852","KIAA1328","ENSG00000150477",403066,1816.5,NA
"13853","KIAA1522","ENSG00000162522",33140,5293,NA
"13854","KIAA1549","ENSG00000122778",149937,9331,5829
"13855","KIAA1549L","ENSG00000110427",298019,8055,4691
"13856","KIAA1586","ENSG00000168116",8707,2789,NA
"13857","KIAA1614","ENSG00000135835",38717,992,NA
"13858","KIAA1614-AS1","ENSG00000232586",5188,1440,NA
"13859","KIAA1671","ENSG00000197077",244718,6448,NA
"13860","KIAA1755","ENSG00000149633",50269,2349,NA
"13861","KIAA1841","ENSG00000162929",72163,2640,NA
"13862","KIAA1958","ENSG00000165185",182550,7650,2217
"13863","KIAA2012","ENSG00000182329",131933,3267.5,NA
"13864","KIAA2012-AS1","ENSG00000222035",41652,2320,NA
"13865","KIAA2013","ENSG00000116685",6837,2539,1905
"13866","KIAA2026","ENSG00000183354",126886,3156.5,NA
"13867","KIDINS220","ENSG00000134313",116549,3220,NA
"13868","KIF11","ENSG00000138160",62265,5016,3171
"13869","KIF12","ENSG00000136883",13165,2001,NA
"13870","KIF13A","ENSG00000137177",228452,4009,NA
"13871","KIF13B","ENSG00000197892",195846,2297.5,NA
"13872","KIF14","ENSG00000118193",69254,7064.5,4947
"13873","KIF15","ENSG00000163808",111655,2441,NA
"13874","KIF15","ENSG00000280610",111655,2441,NA
"13875","KIF16B","ENSG00000089177",301330,3557.5,2986.5
"13876","KIF17","ENSG00000117245",54003,1805,NA
"13877","KIF18A","ENSG00000121621",87537,1280,NA
"13878","KIF18B","ENSG00000186185",23064,3328.5,NA
"13879","KIF18BP1","ENSG00000260746",8493,2264,NA
"13880","KIF19","ENSG00000196169",29610,2000,NA
"13881","KIF1A","ENSG00000130294",107275,4729,NA
"13882","KIF1B","ENSG00000054523",170798,5885,NA
"13883","KIF1BP","ENSG00000198954",54823,2277,NA
"13884","KIF1C","ENSG00000129250",30451,762.5,NA
"13885","KIF20A","ENSG00000112984",9004,810,NA
"13886","KIF20B","ENSG00000138182",73329,5603,NA
"13887","KIF21A","ENSG00000139116",150162,3348,NA
"13888","KIF21B","ENSG00000116852",54310,5428,NA
"13889","KIF22","ENSG00000079616",14666,1585.5,NA
"13890","KIF23","ENSG00000137807",34181,2296,NA
"13891","KIF24","ENSG00000186638",58990,5930,3906
"13892","KIF25","ENSG00000125337",48854,1432,NA
"13893","KIF25-AS1","ENSG00000229921",4288,2418,NA
"13894","KIF26A","ENSG00000066735",42171,6181.5,5440.5
"13895","KIF26B","ENSG00000162849",554447,7187.5,NA
"13896","KIF26B","ENSG00000281216",359475,2571,NA
"13897","KIF26B-AS1","ENSG00000232192",28057,810,NA
"13898","KIF27","ENSG00000165115",87366,4400,3915
"13899","KIF28P","ENSG00000223519",67774,1264,NA
"13900","KIF2A","ENSG00000068796",231087,828.5,NA
"13901","KIF2B","ENSG00000141200",2266,2267,2022
"13902","KIF2C","ENSG00000142945",27949,999.5,NA
"13903","KIF3A","ENSG00000131437",45010,1459.5,NA
"13904","KIF3AP1","ENSG00000235836",610,611,NA
"13905","KIF3B","ENSG00000101350",57360,6116,2244
"13906","KIF3C","ENSG00000084731",56151,3180,NA
"13907","KIF4A","ENSG00000090889",130782,2529.5,NA
"13908","KIF4B","ENSG00000226650",4386,4387,3705
"13909","KIF4CP","ENSG00000225025",1771,1279,NA
"13910","KIF5A","ENSG00000155980",36589,3527,NA
"13911","KIF5B","ENSG00000170759",47410,3180,NA
"13912","KIF5C","ENSG00000168280",151532,2868,NA
"13913","KIF5C","ENSG00000276734",92915,2295,NA
"13914","KIF6","ENSG00000164627",395418,2210.5,NA
"13915","KIF7","ENSG00000166813",46678,1375,NA
"13916","KIF9","ENSG00000088727",55425,849,NA
"13917","KIF9-AS1","ENSG00000227398",82415,3658,NA
"13918","KIFAP3","ENSG00000075945",163882,2836,NA
"13919","KIFC1","ENSG00000056678",329,167.5,NA
"13920","KIFC1","ENSG00000204197",18366,700.5,NA
"13921","KIFC1","ENSG00000233450",18391,700.5,NA
"13922","KIFC1","ENSG00000237649",18073,700.5,NA
"13923","KIFC2","ENSG00000167702",8159,1053,NA
"13924","KIFC3","ENSG00000140859",104836,681,NA
"13925","KIN","ENSG00000151657",37031,817,NA
"13926","KIR2DL1","ENSG00000125498",14529,1408.5,1086
"13927","KIR2DL1","ENSG00000273510",14486,1572,1047
"13928","KIR2DL1","ENSG00000273794",14512,1406,1086
"13929","KIR2DL1","ENSG00000274692",14515,1600,1047
"13930","KIR2DL1","ENSG00000274782",14235,1320,1047
"13931","KIR2DL1","ENSG00000274926",14458,1056,NA
"13932","KIR2DL1","ENSG00000275080",14505,1585,1047
"13933","KIR2DL1","ENSG00000275196",1421,862,349
"13934","KIR2DL1","ENSG00000275276",14256,1341,1047
"13935","KIR2DL1","ENSG00000275522",14328,1309,1086
"13936","KIR2DL1","ENSG00000275750",14256,1341,1047
"13937","KIR2DL1","ENSG00000276310",14321,1406,1047
"13938","KIR2DL1","ENSG00000276625",14315,1306.5,1086
"13939","KIR2DL1","ENSG00000276820",14242,1320,1047
"13940","KIR2DL1","ENSG00000277356",14235,1320,1047
"13941","KIR2DL1","ENSG00000277616",14504,1593,1047
"13942","KIR2DL1","ENSG00000277833",14503,1400,1086
"13943","KIR2DL1","ENSG00000278207",14499,1576,1047
"13944","KIR2DL1","ENSG00000278248",14501,1586,1047
"13945","KIR2DL1","ENSG00000278495",14513,1406,1086
"13946","KIR2DL1","ENSG00000278503",14321,1406,1047
"13947","KIR2DL1","ENSG00000278738",14516,1081,NA
"13948","KIR2DL1","ENSG00000278755",14321,1406,1047
"13949","KIR2DL1","ENSG00000278805",14294,1372,1047
"13950","KIR2DL1","ENSG00000278821",14503,1400,1086
"13951","KIR2DL1","ENSG00000283723",14529,1408.5,1086
"13952","KIR2DL1","ENSG00000284100",14536,1408.5,1086
"13953","KIR2DL1","ENSG00000284145",14530,1408.5,1086
"13954","KIR2DL1","ENSG00000284347",14529,1408.5,1086
"13955","KIR2DL1","ENSG00000284401",14529,1408.5,1086
"13956","KIR2DL1","ENSG00000284514",14528,1408.5,1086
"13957","KIR2DL1","ENSG00000284530",14527,1408.5,1086
"13958","KIR2DL1","ENSG00000284551",14527,1408.5,1086
"13959","KIR2DL2","ENSG00000274412",14524,1572,1047
"13960","KIR2DL2","ENSG00000275960",44756,1540.5,1021.5
"13961","KIR2DL2","ENSG00000276011",14330,1371,1047
"13962","KIR2DL2","ENSG00000277725",14368,1419,1047
"13963","KIR2DL3","ENSG00000243772",14539,1592,1026
"13964","KIR2DL3","ENSG00000273887",14571,1590,1026
"13965","KIR2DL3","ENSG00000273947",14515,1566,1026
"13966","KIR2DL3","ENSG00000274108",14505,1579,1026
"13967","KIR2DL3","ENSG00000274402",14524,1596,1026
"13968","KIR2DL3","ENSG00000274410",14530,1596,1026
"13969","KIR2DL3","ENSG00000274830",14551,1596,1026
"13970","KIR2DL3","ENSG00000274952",14552,1590,1026
"13971","KIR2DL3","ENSG00000275008",14498,1572,1026
"13972","KIR2DL3","ENSG00000275623",14283,1344,1026
"13973","KIR2DL3","ENSG00000275658",14544,1083.5,NA
"13974","KIR2DL3","ENSG00000276218",14506,1585,1026
"13975","KIR2DL3","ENSG00000276459",14516,1590,1026
"13976","KIR2DL3","ENSG00000276590",14385,1464,1026
"13977","KIR2DL3","ENSG00000277317",14258,1311,1026
"13978","KIR2DL3","ENSG00000277484",14534,1596,1026
"13979","KIR2DL3","ENSG00000277554",14523,1596,1026
"13980","KIR2DL3","ENSG00000277924",14528,1596,1026
"13981","KIR2DL3","ENSG00000278327",14528,1590,1026
"13982","KIR2DL3","ENSG00000278369",14540,1590,1050
"13983","KIR2DL3","ENSG00000283702",14540,1592,1026
"13984","KIR2DL3","ENSG00000283708",14520,1592,1026
"13985","KIR2DL3","ENSG00000283790",14529,1592,1026
"13986","KIR2DL3","ENSG00000283996",14554,1592,1026
"13987","KIR2DL3","ENSG00000284044",14524,1592,1026
"13988","KIR2DL3","ENSG00000284132",14559,1592,1026
"13989","KIR2DL3","ENSG00000284236",14547,1592,1026
"13990","KIR2DL3","ENSG00000284241",14548,1592,1026
"13991","KIR2DL3","ENSG00000284333",14524,1592,1026
"13992","KIR2DL3","ENSG00000284504",14528,1592,1026
"13993","KIR2DL3","ENSG00000284510",14526,1592,1026
"13994","KIR2DL4","ENSG00000189013",10982,1447,NA
"13995","KIR2DL4","ENSG00000273498",11076,1586.5,1081.5
"13996","KIR2DL4","ENSG00000273575",11148,1531,NA
"13997","KIR2DL4","ENSG00000274189",11023,1618,1036.5
"13998","KIR2DL4","ENSG00000274193",11076,1391,1081.5
"13999","KIR2DL4","ENSG00000274232",10982,1443,978
"14000","KIR2DL4","ENSG00000274609",10949,1581,1134
"14001","KIR2DL4","ENSG00000274945",11027,1575,1029
"14002","KIR2DL4","ENSG00000274955",10984,1474,1029
"14003","KIR2DL4","ENSG00000275237",10981,1595.5,1036.5
"14004","KIR2DL4","ENSG00000275317",10916,1497,933
"14005","KIR2DL4","ENSG00000275456",10907,1539,1134
"14006","KIR2DL4","ENSG00000275699",10982,1520,925.5
"14007","KIR2DL4","ENSG00000275732",11076,1586.5,1081.5
"14008","KIR2DL4","ENSG00000275848",10895,1567,1134
"14009","KIR2DL4","ENSG00000276044",10983,1510.5,925.5
"14010","KIR2DL4","ENSG00000276779",10949,1581,1134
"14011","KIR2DL4","ENSG00000276979",11076,1609,1081.5
"14012","KIR2DL4","ENSG00000277076",11070,1474,1029
"14013","KIR2DL4","ENSG00000277355",11076,1592.5,1081.5
"14014","KIR2DL4","ENSG00000277362",10949,1581,1134
"14015","KIR2DL4","ENSG00000277540",21476,1637,1029
"14016","KIR2DL4","ENSG00000277750",10904,1536,1134
"14017","KIR2DL4","ENSG00000277850",11110,1447,978
"14018","KIR2DL4","ENSG00000277964",10916,1548,1134
"14019","KIR2DL4","ENSG00000278074",10714,1346,1134
"14020","KIR2DL4","ENSG00000278201",11076,1592.5,1081.5
"14021","KIR2DL4","ENSG00000278271",11098,1730,1134
"14022","KIR2DL4","ENSG00000278430",11190,1191,NA
"14023","KIR2DL4","ENSG00000278606",11188,1580,NA
"14024","KIR2DL4","ENSG00000283869",11023,1447,NA
"14025","KIR2DL4","ENSG00000283961",10985,1447,NA
"14026","KIR2DL4","ENSG00000283986",10950,1077,1029
"14027","KIR2DL4","ENSG00000284013",10982,1447,NA
"14028","KIR2DL4","ENSG00000284206",10950,1077,1029
"14029","KIR2DL4","ENSG00000284340",10950,1077,1029
"14030","KIR2DL4","ENSG00000284365",10982,1447,NA
"14031","KIR2DL4","ENSG00000284457",10916,1077,1029
"14032","KIR2DL4","ENSG00000284460",11023,1447,NA
"14033","KIR2DL4","ENSG00000284509",11023,1447,NA
"14034","KIR2DL4","ENSG00000284562",10916,1077,1029
"14035","KIR2DL5A","ENSG00000274143",9341,1473,1128
"14036","KIR2DL5A","ENSG00000278116",9496,1632,1128
"14037","KIR2DL5B","ENSG00000275937",9279,1395,1128
"14038","KIR2DL5B","ENSG00000284089",9009,978,978
"14039","KIR2DL5B","ENSG00000288487",25552,912,912
"14040","KIR2DP1","ENSG00000242473",12348,1331,NA
"14041","KIR2DP1","ENSG00000273522",12348,1049,NA
"14042","KIR2DP1","ENSG00000273753",12348,1053,NA
"14043","KIR2DP1","ENSG00000273955",12374,1308,NA
"14044","KIR2DP1","ENSG00000274476",12894,1595,NA
"14045","KIR2DP1","ENSG00000274851",12349,1049,NA
"14046","KIR2DP1","ENSG00000274912",12381,1082,NA
"14047","KIR2DP1","ENSG00000274942",11595,856,NA
"14048","KIR2DP1","ENSG00000275815",12348,1049,NA
"14049","KIR2DP1","ENSG00000276279",12893,1592,NA
"14050","KIR2DP1","ENSG00000276468",12739,1596,1050
"14051","KIR2DP1","ENSG00000276503",12348,1049,NA
"14052","KIR2DP1","ENSG00000277286",12346,1331,NA
"14053","KIR2DP1","ENSG00000277375",12866,1851,NA
"14054","KIR2DP1","ENSG00000277376",12350,1049,NA
"14055","KIR2DP1","ENSG00000278169",12377,1078,NA
"14056","KIR2DP1","ENSG00000278329",12348,1280,NA
"14057","KIR2DP1","ENSG00000278339",12345,1049,NA
"14058","KIR2DP1","ENSG00000278614",12445,1146,NA
"14059","KIR2DP1","ENSG00000283725",12348,1331,NA
"14060","KIR2DP1","ENSG00000283832",12348,1331,NA
"14061","KIR2DP1","ENSG00000283860",12350,1331,NA
"14062","KIR2DP1","ENSG00000284088",12346,1331,NA
"14063","KIR2DP1","ENSG00000284232",12346,1331,NA
"14064","KIR2DP1","ENSG00000284248",12348,1331,NA
"14065","KIR2DP1","ENSG00000284249",12350,1331,NA
"14066","KIR2DP1","ENSG00000284313",12346,1331,NA
"14067","KIR2DP1","ENSG00000284478",12356,1331,NA
"14068","KIR2DP1","ENSG00000284497",12346,1331,NA
"14069","KIR2DP1","ENSG00000284533",12348,1331,NA
"14070","KIR2DS1","ENSG00000276327",14470,1557,915
"14071","KIR2DS1","ENSG00000276387",14301,1323,NA
"14072","KIR2DS1","ENSG00000278120",13928,1015,915
"14073","KIR2DS1","ENSG00000283937",13828,940.5,808.5
"14074","KIR2DS1","ENSG00000284120",13828,807,807
"14075","KIR2DS1","ENSG00000284150",13828,807,807
"14076","KIR2DS2","ENSG00000275452",30725,1496.5,970.5
"14077","KIR2DS2","ENSG00000277885",13907,1169,915
"14078","KIR2DS2","ENSG00000278300",44713,1558,915
"14079","KIR2DS3","ENSG00000278306",14435,1193,915
"14080","KIR2DS3","ENSG00000284039",14157,915,912
"14081","KIR2DS3","ENSG00000288487",25552,912,912
"14082","KIR2DS4","ENSG00000221957",15893,1142.5,785
"14083","KIR2DS4","ENSG00000273526",15853,1850,1197
"14084","KIR2DS4","ENSG00000273931",15607,1322,892
"14085","KIR2DS4","ENSG00000274324",15579,1295,893
"14086","KIR2DS4","ENSG00000274406",15630,1344,915
"14087","KIR2DS4","ENSG00000274533",10858,1315,516
"14088","KIR2DS4","ENSG00000274714",15397,1112,893
"14089","KIR2DS4","ENSG00000274807",15368,966.5,785
"14090","KIR2DS4","ENSG00000274921",91006,1395,1365
"14091","KIR2DS4","ENSG00000274947",15629,1344,915
"14092","KIR2DS4","ENSG00000274957",15915,1630,915
"14093","KIR2DS4","ENSG00000275351",15524,1240,893
"14094","KIR2DS4","ENSG00000275353",15915,1630,915
"14095","KIR2DS4","ENSG00000275731",14482,1633,906
"14096","KIR2DS4","ENSG00000275938",15313,1028,NA
"14097","KIR2DS4","ENSG00000276154",15915,1630,915
"14098","KIR2DS4","ENSG00000276209",14989,788.5,785
"14099","KIR2DS4","ENSG00000276395",14816,1410,915
"14100","KIR2DS4","ENSG00000276465",15577,1295,892
"14101","KIR2DS4","ENSG00000276634",15881,1596,915
"14102","KIR2DS4","ENSG00000276885",15036,1630,915
"14103","KIR2DS4","ENSG00000277078",15654,1563,1125
"14104","KIR2DS4","ENSG00000277345",15606,1322,1125
"14105","KIR2DS4","ENSG00000283727",15893,1142.5,785
"14106","KIR2DS4","ENSG00000283779",15892,1142.5,785
"14107","KIR2DS4","ENSG00000283846",15892,1142.5,785
"14108","KIR2DS4","ENSG00000283870",15011,1554,864
"14109","KIR2DS4","ENSG00000283882",15890,1554,864
"14110","KIR2DS4","ENSG00000284244",15893,1142.5,785
"14111","KIR2DS4","ENSG00000284264",15890,1554,864
"14112","KIR2DS4","ENSG00000284307",15680,1142.5,785
"14113","KIR2DS4","ENSG00000284408",15892,1142.5,785
"14114","KIR2DS5","ENSG00000274739",15020,1601,915
"14115","KIR2DS5","ENSG00000288206",25731,912,912
"14116","KIR2DS5","ENSG00000288357",25731,912,912
"14117","KIR3DL1","ENSG00000167633",14310,1800,1284
"14118","KIR3DL1","ENSG00000273518",14305,1836.5,1309.5
"14119","KIR3DL1","ENSG00000273775",14303,1836.5,1309.5
"14120","KIR3DL1","ENSG00000274036",14304,1865,1335
"14121","KIR3DL1","ENSG00000274146",14308,1837.5,1309.5
"14122","KIR3DL1","ENSG00000274920",14308,1837.5,1309.5
"14123","KIR3DL1","ENSG00000274948",14319,1860,1335
"14124","KIR3DL1","ENSG00000275288",14299,1860,1335
"14125","KIR3DL1","ENSG00000275486",14305,1865,1335
"14126","KIR3DL1","ENSG00000275545",14317,1842.5,1309.5
"14127","KIR3DL1","ENSG00000275659",63659,1776,1284
"14128","KIR3DL1","ENSG00000275717",14312,1658,1284
"14129","KIR3DL1","ENSG00000275786",14313,1658,1284
"14130","KIR3DL1","ENSG00000276329",14305,1865,1335
"14131","KIR3DL1","ENSG00000276379",3901,671,657
"14132","KIR3DL1","ENSG00000276423",14296,1857,1335
"14133","KIR3DL1","ENSG00000276501",14305,1865,1335
"14134","KIR3DL1","ENSG00000277175",14342,1835,1309.5
"14135","KIR3DL1","ENSG00000277272",14305,1836.5,1309.5
"14136","KIR3DL1","ENSG00000278079",14343,1835,1309.5
"14137","KIR3DL1","ENSG00000278368",14312,1734,1309.5
"14138","KIR3DL1","ENSG00000278427",14342,1874.5,1309.5
"14139","KIR3DL1","ENSG00000278856",14307,1837.5,1309.5
"14140","KIR3DL1","ENSG00000283729",14313,1800,1284
"14141","KIR3DL1","ENSG00000283731",14311,1800,1284
"14142","KIR3DL1","ENSG00000283827",14311,1800,1284
"14143","KIR3DL1","ENSG00000283954",14331,1800,1284
"14144","KIR3DL1","ENSG00000284093",14313,1800,1284
"14145","KIR3DL1","ENSG00000284177",14311,1800,1284
"14146","KIR3DL1","ENSG00000284342",14310,1800,1284
"14147","KIR3DL1","ENSG00000284426",14310,1800,1284
"14148","KIR3DL1","ENSG00000284589",14313,1800,1284
"14149","KIR3DL2","ENSG00000240403",16764,1711.5,1342.5
"14150","KIR3DL2","ENSG00000273735",8710,849.5,833
"14151","KIR3DL2","ENSG00000273911",8716,1063,1000
"14152","KIR3DL2","ENSG00000274722",16772,1748,1342.5
"14153","KIR3DL2","ENSG00000275083",16794,1855.5,1342.5
"14154","KIR3DL2","ENSG00000275262",16772,1854,1342.5
"14155","KIR3DL2","ENSG00000275416",16758,1848.5,1342.5
"14156","KIR3DL2","ENSG00000275511",16794,1854,1342.5
"14157","KIR3DL2","ENSG00000275566",16757,1752,1342.5
"14158","KIR3DL2","ENSG00000275626",16759,1854,1342.5
"14159","KIR3DL2","ENSG00000275629",16770,1711.5,1342.5
"14160","KIR3DL2","ENSG00000275838",16824,1874.5,1342.5
"14161","KIR3DL2","ENSG00000276004",16764,1711.5,1342.5
"14162","KIR3DL2","ENSG00000276357",16758,1854,1342.5
"14163","KIR3DL2","ENSG00000276424",16794,1848.5,1342.5
"14164","KIR3DL2","ENSG00000276739",16794,1859.5,1342.5
"14165","KIR3DL2","ENSG00000276882",16794,1748,1342.5
"14166","KIR3DL2","ENSG00000277181",16772,1715.5,1342.5
"14167","KIR3DL2","ENSG00000277709",1868,398,355
"14168","KIR3DL2","ENSG00000277982",16794,1854,1342.5
"14169","KIR3DL2","ENSG00000278361",16758,1855.5,1342.5
"14170","KIR3DL2","ENSG00000278403",16794,1855.5,1342.5
"14171","KIR3DL2","ENSG00000278442",16758,1848.5,1342.5
"14172","KIR3DL2","ENSG00000278474",16776,1854,1342.5
"14173","KIR3DL2","ENSG00000278656",16729,1710,1342.5
"14174","KIR3DL2","ENSG00000278707",16794,1849,1342.5
"14175","KIR3DL2","ENSG00000278710",16778,1854,1342.5
"14176","KIR3DL2","ENSG00000278726",16796,1854,1342.5
"14177","KIR3DL2","ENSG00000278758",16794,1748,1342.5
"14178","KIR3DL2","ENSG00000278809",16731,1704.5,1342.5
"14179","KIR3DL2","ENSG00000278850",16775,1848.5,1342.5
"14180","KIR3DL2","ENSG00000283951",16788,1711.5,1342.5
"14181","KIR3DL2","ENSG00000283975",16786,1711.5,1342.5
"14182","KIR3DL2","ENSG00000284046",16752,1711.5,1342.5
"14183","KIR3DL2","ENSG00000284063",16786,1711.5,1342.5
"14184","KIR3DL2","ENSG00000284192",16750,1711.5,1342.5
"14185","KIR3DL2","ENSG00000284213",16770,1711.5,1342.5
"14186","KIR3DL2","ENSG00000284295",16761,1711.5,1342.5
"14187","KIR3DL2","ENSG00000284381",16764,1711.5,1342.5
"14188","KIR3DL2","ENSG00000284384",16770,1711.5,1342.5
"14189","KIR3DL2","ENSG00000284466",16786,1711.5,1342.5
"14190","KIR3DL2","ENSG00000284528",16790,1711.5,1342.5
"14191","KIR3DL3","ENSG00000242019",12057,1691,1233
"14192","KIR3DL3","ENSG00000273502",12116,1762,1255.5
"14193","KIR3DL3","ENSG00000274254",12148,1815,1233
"14194","KIR3DL3","ENSG00000274394",12018,1694,1233
"14195","KIR3DL3","ENSG00000274480",12028,1694,1233
"14196","KIR3DL3","ENSG00000274511",12018,1694,1233
"14197","KIR3DL3","ENSG00000274556",11685,1314,1233
"14198","KIR3DL3","ENSG00000274639",12055,1691,1233
"14199","KIR3DL3","ENSG00000274696",43009,1404,1299
"14200","KIR3DL3","ENSG00000274724",11686,1314,1233
"14201","KIR3DL3","ENSG00000274763",11679,1314,1233
"14202","KIR3DL3","ENSG00000274786",11647,1314,1233
"14203","KIR3DL3","ENSG00000275062",12060,1691,1233
"14204","KIR3DL3","ENSG00000275172",12019,1691,1233
"14205","KIR3DL3","ENSG00000275433",10483,1604,1164
"14206","KIR3DL3","ENSG00000275513",12017,1694,1233
"14207","KIR3DL3","ENSG00000276084",11638,1314,1233
"14208","KIR3DL3","ENSG00000276086",12190,1823,1233
"14209","KIR3DL3","ENSG00000276196",11642,1314,1233
"14210","KIR3DL3","ENSG00000276328",11638,1314,1233
"14211","KIR3DL3","ENSG00000276433",11562,1238,1233
"14212","KIR3DL3","ENSG00000276572",11559,1233,1233
"14213","KIR3DL3","ENSG00000276806",12015,1691,1233
"14214","KIR3DL3","ENSG00000276875",12017,1691,1233
"14215","KIR3DL3","ENSG00000276930",12057,1691,1233
"14216","KIR3DL3","ENSG00000277028",12014,1691,1233
"14217","KIR3DL3","ENSG00000277392",12015,1691,1233
"14218","KIR3DL3","ENSG00000277552",12018,1694,1233
"14219","KIR3DL3","ENSG00000277620",11642,1314,1233
"14220","KIR3DL3","ENSG00000278490",12093,1726,1233
"14221","KIR3DL3","ENSG00000278723",12014,1691,1233
"14222","KIR3DL3","ENSG00000278729",12015,1691,1233
"14223","KIR3DL3","ENSG00000283823",12018,1691,1233
"14224","KIR3DL3","ENSG00000283875",12054,1691,1233
"14225","KIR3DL3","ENSG00000283915",12015,1691,1233
"14226","KIR3DL3","ENSG00000283966",12023,1691,1233
"14227","KIR3DL3","ENSG00000284086",12014,1691,1233
"14228","KIR3DL3","ENSG00000284104",12063,1691,1233
"14229","KIR3DL3","ENSG00000284127",12053,1691,1233
"14230","KIR3DL3","ENSG00000284371",12056,1691,1233
"14231","KIR3DL3","ENSG00000284480",12014,1691,1233
"14232","KIR3DP1","ENSG00000264257",3963,628,NA
"14233","KIR3DP1","ENSG00000273688",3998,663,NA
"14234","KIR3DP1","ENSG00000273880",3963,913,NA
"14235","KIR3DP1","ENSG00000274163",4000,701,NA
"14236","KIR3DP1","ENSG00000274498",5436,948,NA
"14237","KIR3DP1","ENSG00000274610",13404,1294,987
"14238","KIR3DP1","ENSG00000275255",11930,925.5,NA
"14239","KIR3DP1","ENSG00000275593",11930,925.5,NA
"14240","KIR3DP1","ENSG00000275751",11822,1051,NA
"14241","KIR3DP1","ENSG00000275887",13413,1127.5,NA
"14242","KIR3DP1","ENSG00000276035",3855,879,NA
"14243","KIR3DP1","ENSG00000276041",3963,655,NA
"14244","KIR3DP1","ENSG00000276212",13422,1122,NA
"14245","KIR3DP1","ENSG00000276518",13403,1294,987
"14246","KIR3DP1","ENSG00000276912",11623,994,NA
"14247","KIR3DP1","ENSG00000277176",11931,1160,NA
"14248","KIR3DP1","ENSG00000277477",3963,913,NA
"14249","KIR3DP1","ENSG00000277560",3855,879,NA
"14250","KIR3DP1","ENSG00000277742",3963,628,NA
"14251","KIR3DP1","ENSG00000277835",11817,1051,NA
"14252","KIR3DP1","ENSG00000278051",3855,879,NA
"14253","KIR3DP1","ENSG00000278157",5437,950,NA
"14254","KIR3DP1","ENSG00000278691",11816,1069,NA
"14255","KIR3DP1","ENSG00000278786",11821,1051,NA
"14256","KIR3DP1","ENSG00000283713",3963,628,NA
"14257","KIR3DP1","ENSG00000283919",3963,628,NA
"14258","KIR3DP1","ENSG00000283968",3963,628,NA
"14259","KIR3DP1","ENSG00000283974",3963,628,NA
"14260","KIR3DP1","ENSG00000284006",3963,628,NA
"14261","KIR3DP1","ENSG00000284007",3963,628,NA
"14262","KIR3DP1","ENSG00000284102",3963,628,NA
"14263","KIR3DP1","ENSG00000284105",3963,628,NA
"14264","KIR3DP1","ENSG00000284119",3959,628,NA
"14265","KIR3DP1","ENSG00000284397",3963,628,NA
"14266","KIR3DP1","ENSG00000284417",3959,628,NA
"14267","KIR3DS1","ENSG00000274465",14587,1655,1158
"14268","KIR3DS1","ENSG00000275434",14476,1656,1149
"14269","KIR3DS1","ENSG00000283719",13868,861,861
"14270","KIR3DS1","ENSG00000283889",13868,861,861
"14271","KIR3DS1","ENSG00000284111",13868,861,861
"14272","KIR3DX1","ENSG00000104970",13079,1378,NA
"14273","KIR3DX1","ENSG00000275918",12757,1406.5,NA
"14274","KIR3DX1","ENSG00000276033",12969,2548,NA
"14275","KIR3DX1","ENSG00000276848",12968,2548,NA
"14276","KIRREL1","ENSG00000183853",106989,7159,1878
"14277","KIRREL1-IT1","ENSG00000226520",5616,587,NA
"14278","KIRREL2","ENSG00000126259",11248,2015,1902
"14279","KIRREL3","ENSG00000149571",580102,2019,NA
"14280","KIRREL3-AS1","ENSG00000257271",67001,586,NA
"14281","KIRREL3-AS2","ENSG00000254960",4344,460.5,NA
"14282","KIRREL3-AS3","ENSG00000218109",3148,1299.5,NA
"14283","KISS1","ENSG00000170498",6150,574.5,426
"14284","KISS1R","ENSG00000116014",3718,964,681
"14285","KIT","ENSG00000157404",82797,2108,NA
"14286","KITLG","ENSG00000049130",88058,4479.5,NA
"14287","KIZ","ENSG00000088970",120639,1397,NA
"14288","KIZ-AS1","ENSG00000232712",64266,1161,NA
"14289","KL","ENSG00000133116",49720,4114,NA
"14290","KLB","ENSG00000134962",44603,6002,3135
"14291","KLC1","ENSG00000126214",152353,2229,NA
"14292","KLC2","ENSG00000174996",10566,1315,NA
"14293","KLC3","ENSG00000104892",18086,1764,NA
"14294","KLC4","ENSG00000137171",34318,841,NA
"14295","KLF1","ENSG00000105610",2777,1611,1089
"14296","KLF10","ENSG00000155090",6941,3287,1426.5
"14297","KLF11","ENSG00000172059",11987,2269,989.5
"14298","KLF12","ENSG00000118922",308967,5878,NA
"14299","KLF13","ENSG00000169926",108830,489,NA
"14300","KLF13","ENSG00000275746",51038,3927,864
"14301","KLF14","ENSG00000266265",2941,2942,972
"14302","KLF15","ENSG00000163884",14773,1543.5,NA
"14303","KLF16","ENSG00000129911",11180,1133.5,759
"14304","KLF17","ENSG00000171872",16319,1927.5,759
"14305","KLF17P1","ENSG00000258316",1125,1126,NA
"14306","KLF18","ENSG00000283039",3810,3159,3159
